"active_bins","sum_of_data"
"87","74091.49999999987"
"88","74619.39999999995"
"88","74170.69999999988"
"87","73608.39999999989"
"86","72851.0999999999"
"87","73392.5999999999"
"87","73675.99999999991"
"87","74113.29999999992"
"87","73889.3999999999"
"87","73220.59999999995"
"87","73649.19999999997"
"87","74086.69999999994"
"87","73828.89999999992"
"87","73422.79999999996"
"87","73663.09999999995"
"87","74120.59999999995"
"86","73547.19999999997"
"86","73189.89999999998"
"86","72835.0"
"86","72973.70000000001"
"86","73314.39999999997"
"87","73886.5999999999"
"87","74094.09999999992"
"86","73303.09999999996"
"86","73469.29999999996"
"87","73908.99999999996"
"87","73629.79999999994"
"88","74252.99999999993"
"88","73754.99999999997"
"89","74432.09999999993"
"89","73832.09999999998"
"90","74410.89999999992"
"91","74902.39999999995"
"91","75177.99999999993"
"90","74802.79999999994"
"90","74047.4"
"90","74374.39999999995"
"91","74799.89999999997"
"92","75346.59999999996"
"92","75706.79999999999"
"92","76135.09999999999"
"92","75757.1"
"92","75421.89999999997"
"92","75689.8"
"92","75398.29999999996"
"92","75191.2"
"92","74867.29999999999"
"92","75267.39999999998"
"92","75657.39999999995"
"93","76375.49999999991"
"92","75828.79999999993"
"92","75563.89999999992"
"92","75072.69999999997"
"92","75302.49999999994"
"92","74816.89999999997"
"92","75177.89999999995"
"92","75554.2999999999"
"92","76298.59999999992"
"92","76585.99999999993"
"92","76927.19999999991"
"92","76622.49999999991"
"91","76029.59999999989"
"91","76393.19999999992"
"91","76048.89999999989"
"91","76473.89999999992"
"91","76798.89999999992"
"92","77402.09999999987"
"92","77687.09999999987"
"92","78100.39999999988"
"93","78501.59999999987"
"92","77932.39999999986"
"92","78544.4999999999"
"92","79048.1999999999"
"93","79853.09999999989"
"93","79407.69999999991"
"94","79862.4999999999"
"94","80312.39999999988"
"94","80535.4999999999"
"94","80179.69999999988"
"94","80465.29999999989"
"94","80889.19999999987"
"94","80511.99999999988"
"95","80999.89999999985"
"95","81246.79999999987"
"96","81974.79999999981"
"96","81510.69999999984"
"96","81728.89999999983"
"96","82160.49999999981"
"96","82593.8999999998"
"96","82107.39999999983"
"96","82489.69999999981"
"96","81996.79999999986"
"96","81671.79999999987"
"97","81973.79999999987"
"96","81650.19999999987"
"96","81117.79999999987"
"96","81605.69999999984"
"96","82164.39999999983"
"95","81436.39999999985"
"96","82166.09999999983"
"96","82441.99999999984"
"96","82191.99999999988"
"96","82682.99999999983"
"95","82110.79999999989"
"95","81782.79999999987"
"95","81358.89999999985"
"95","81714.39999999986"
"94","81135.59999999986"
"94","81290.99999999985"
"94","81647.29999999983"
"94","82120.39999999983"
"95","82552.89999999978"
"95","82948.19999999975"
"95","82534.89999999975"
"96","83115.39999999976"
"96","83519.39999999973"
"96","83843.49999999972"
"96","84225.89999999972"
"96","83989.29999999973"
"97","84691.79999999976"
"98","85345.59999999976"
"98","85852.59999999977"
"97","85375.69999999978"
"96","84873.19999999976"
"96","84338.99999999974"
"96","84182.99999999972"
"96","84442.99999999974"
"95","84076.29999999973"
"94","83421.3999999997"
"94","83712.69999999972"
"94","84256.19999999972"
"95","84750.39999999973"
"95","84482.49999999974"
"95","84067.59999999971"
"95","84377.59999999973"
"95","84159.39999999973"
"95","84620.19999999974"
"95","84888.09999999976"
"95","85304.19999999974"
"95","85041.99999999977"
"95","85434.99999999975"
"95","85883.79999999977"
"95","85340.29999999977"
"95","85690.19999999978"
"96","86255.8999999998"
"96","86739.69999999982"
"97","87360.59999999985"
"97","87028.39999999983"
"97","87168.99999999983"
"97","86649.8999999998"
