"active_bins","sum_of_data"
"84","112331.7000000001"
"84","113158.70000000008"
"84","113915.70000000007"
"84","114801.10000000018"
"84","115619.20000000026"
"84","114846.00000000023"
"85","115426.20000000023"
"85","114650.20000000023"
"85","114145.40000000023"
"86","114944.2000000002"
"87","115682.8000000002"
"86","114978.70000000019"
"86","114208.3000000002"
"86","113320.00000000017"
"85","112576.30000000018"
"86","113458.0000000002"
"87","114170.30000000022"
"88","114935.60000000024"
"88","115691.40000000024"
"88","114906.50000000026"
"88","114060.20000000023"
"88","114636.40000000029"
"88","113855.60000000021"
"87","112965.70000000022"
"88","113715.30000000025"
"88","114316.40000000021"
"87","113378.3000000002"
"87","113908.5000000002"
"87","113222.70000000023"
"88","113846.20000000024"
"88","113148.40000000027"
"88","113907.20000000026"
"88","114693.10000000024"
"89","115572.5000000003"
"90","116278.6000000003"
"90","115460.40000000024"
"90","114809.2000000002"
"90","115677.80000000026"
"90","115010.80000000018"
"91","115886.20000000019"
"90","115130.40000000021"
"90","114453.6000000002"
"90","113877.40000000018"
"90","114572.00000000016"
"90","115493.80000000016"
"90","116434.00000000016"
"90","117020.40000000021"
"90","116199.70000000022"
"90","117067.60000000018"
"90","117797.60000000018"
"91","118498.00000000019"
"90","117782.80000000016"
"90","118601.60000000022"
"90","117990.8000000002"
"90","118661.70000000022"
"90","119301.00000000022"
"91","120176.3000000002"
"91","119236.1000000002"
"91","119967.60000000018"
"92","120708.90000000021"
"93","121293.80000000022"
"94","121995.9000000003"
"94","122730.40000000031"
"94","123498.60000000034"
"94","122559.4000000003"
"95","123418.20000000033"
"95","124137.90000000034"
"95","123280.20000000035"
"95","124178.80000000038"
"95","123434.90000000034"
"95","124238.30000000042"
"95","124915.80000000041"
"95","125729.70000000042"
"95","124823.30000000037"
"96","125556.60000000036"
"96","126370.20000000043"
"97","126886.20000000046"
"97","127736.7000000004"
"97","128646.50000000044"
"96","127863.20000000038"
"96","128689.10000000036"
"96","129331.60000000041"
"96","128733.80000000037"
"97","129358.10000000038"
"97","130090.10000000043"
"97","130969.30000000042"
"96","130345.00000000041"
"97","131045.4000000004"
"97","131967.20000000045"
"96","131217.60000000036"
"96","130335.10000000036"
"96","131154.70000000027"
"97","131778.60000000027"
"97","132508.30000000034"
"97","133262.20000000024"
"97","132389.4000000004"
"98","133072.10000000036"
"98","132483.30000000042"
"98","131679.60000000036"
"99","132302.8000000004"
"99","131657.50000000035"
"99","132487.9000000004"
"99","133167.9000000003"
"98","132651.90000000034"
"98","131827.00000000032"
"97","131061.70000000032"
"97","130384.20000000033"
"97","130978.10000000033"
"97","131844.90000000037"
"97","132486.9000000004"
"96","131694.80000000034"
"96","130957.30000000032"
"96","130176.20000000033"
"96","131008.00000000038"
"96","130291.70000000038"
"96","129469.40000000037"
"95","128603.20000000036"
"94","127935.40000000036"
"94","128656.10000000037"
"95","129596.10000000037"
"95","130373.20000000038"
"95","131121.60000000038"
"95","131709.40000000043"
"96","132441.7000000005"
"96","131680.50000000044"
"95","131106.20000000042"
"95","130349.20000000036"
"95","129578.90000000033"
"95","128751.90000000027"
"95","129475.50000000032"
"95","130125.80000000034"
"96","130912.80000000035"
"96","131705.80000000037"
"95","130827.70000000033"
"95","131524.10000000033"
"95","132329.40000000043"
"95","133277.40000000034"
"94","132653.90000000037"
"94","133716.4000000004"
"94","134335.2000000004"
"94","135122.7000000004"
"94","134316.30000000042"
"94","133505.60000000044"
"94","134342.40000000046"
"95","135074.10000000047"
"96","135863.1000000005"
"96","136767.80000000054"
"96","137514.00000000047"
"96","136815.00000000052"
"96","136015.80000000054"
"95","135159.2000000005"
"94","134479.50000000047"
"94","133518.60000000047"
"94","132553.60000000053"
"95","133211.70000000054"
"95","133914.70000000054"
"95","133137.60000000053"
"95","132398.20000000054"
"94","131514.00000000047"
"94","132133.6000000005"
"94","132791.10000000056"
"94","133340.90000000046"
"94","132547.9000000005"
"94","133281.10000000038"
"95","134274.20000000045"
"95","135111.50000000044"
"95","134446.20000000048"
"95","135308.70000000042"
"95","136029.90000000052"
"96","136728.10000000053"
"96","135859.50000000047"
"95","135040.6000000004"
"95","135523.6000000004"
"95","136471.60000000047"
"95","137364.7000000005"
"95","136479.30000000045"
"96","137137.80000000045"
"97","137805.60000000044"
"97","138694.90000000055"
"96","137966.40000000043"
"96","138777.20000000054"
"96","139495.80000000054"
"96","140345.8000000005"
"96","139725.20000000056"
"95","139066.7000000005"
"96","139770.40000000058"
"96","140507.40000000058"
"96","139585.60000000073"
"96","138818.40000000078"
"96","137986.60000000076"
"95","137276.70000000068"
"95","136627.60000000065"
"95","135847.4000000007"
"95","136524.50000000064"
"95","135665.70000000065"
"96","136337.10000000068"
"96","135494.10000000068"
"96","134656.80000000063"
"96","133919.80000000057"
"95","133261.70000000054"
"95","133998.20000000054"
"95","134878.50000000064"
"95","134279.50000000052"
"96","135111.00000000064"
"96","135763.20000000065"
"96","134882.90000000063"
"95","134032.40000000055"
"95","134727.50000000058"
"95","135481.30000000063"
"94","134541.30000000054"
"94","135275.2000000006"
"95","135903.10000000068"
"95","136537.40000000063"
"95","137484.00000000064"
"95","138246.30000000075"
"94","137538.50000000064"
"94","136715.50000000067"
"94","137303.4000000007"
"93","136562.10000000062"
"93","137296.5000000006"
"93","137879.50000000067"
"93","136990.20000000056"
"94","137719.5000000006"
"94","138671.00000000058"
"94","137828.80000000063"
"94","137015.20000000056"
"94","136485.0000000006"
"94","137356.80000000057"
"94","138264.10000000056"
"94","137487.10000000047"
"94","136881.30000000045"
"93","135901.5000000004"
"93","135118.50000000044"
"93","135757.7000000004"
"93","135169.90000000043"
"94","135867.10000000036"
"95","136576.90000000043"
"95","137295.70000000036"
"95","136592.70000000042"
"95","137141.40000000034"
"94","136384.0000000003"
"94","137158.7000000003"
"94","137885.70000000027"
