Algorithm,Execution_time_500_1,Execution_time_500_2,Execution_time_500_3,Average,std
Local_search_BFS_Execution_time_sharing_beta_HSMD.csv,1344.413299,1162.581882,1154.901785,1220.632322,107.266228
Local_search_BFS_Execution_time_sharing_beta_HSHD.csv,1016.014155,1219.336736,1154.334867,1129.895253,103.8411722
Local_search_BFS_Execution_time_sharing_equal_LSLD.csv,1445.877324,1286.855283,1048.386101,1260.372902,200.0645032
Local_search_BFS_Execution_time_sharing_equal_LSMD.csv,1156.799736,1393.116608,1361.175278,1303.697208,128.2154923
Local_search_BFS_Execution_time_sharing_equal_LSHD.csv,1263.505774,1230.356984,1302.934329,1265.599029,36.33392408
Local_search_BFS_Execution_time_sharing_equal_MSLD.csv,1423.174984,1492.052195,1146.728303,1353.985161,182.7637036
Local_search_BFS_Execution_time_sharing_equal_MSMD.csv,1126.51919,1191.655842,1463.295694,1260.490242,178.6287613
Local_search_BFS_Execution_time_sharing_equal_MSHD.csv,1179.047021,1277.055443,1337.366693,1264.489719,79.90433468
Local_search_BFS_Execution_time_sharing_equal_HSLD.csv,1392.241521,1061.687608,1230.663237,1228.197455,165.2907511
Local_search_BFS_Execution_time_sharing_equal_HSMD.csv,1079.525042,1078.881869,1279.051626,1145.819512,115.3828432
Local_search_BFS_Execution_time_sharing_equal_HSHD.csv,1289.047327,1345.336481,1463.714236,1366.032681,89.15369766
Local_search_FFS_Execution_time_sharing_LSLD.csv,1237.92629,1084.752607,1299.461154,1207.380017,110.5655739
Local_search_FFS_Execution_time_sharing_LSMD.csv,1332.617517,1144.438394,1409.711918,1295.589276,136.4581569
Local_search_FFS_Execution_time_sharing_LSHD.csv,1389.064446,1460.878923,1100.901816,1316.948395,190.5162014
Local_search_FFS_Execution_time_sharing_MSLD.csv,1015.813024,1324.569003,1476.356863,1272.246297,234.6878908
Local_search_FFS_Execution_time_sharing_MSMD.csv,1360.378447,1373.889516,1433.261783,1389.176582,38.77197386
Local_search_FFS_Execution_time_sharing_MSHD.csv,1458.122216,1323.962976,1456.650482,1412.911891,77.03553501
Local_search_FFS_Execution_time_sharing_HSLD.csv,1258.578742,1426.518536,1474.517494,1386.538257,113.3851982
Local_search_FFS_Execution_time_sharing_HSMD.csv,1226.879695,1299.662778,1002.615213,1176.385895,154.8274259
Local_search_FFS_Execution_time_sharing_HSHD.csv,1042.390878,1396.842119,1374.809504,1271.3475,198.5880415
Local_search_WFS_Execution_time_sharing_alpha_LSLD.csv,1126.592234,1361.442749,1215.242586,1234.425856,118.5946436
Local_search_WFS_Execution_time_sharing_alpha_LSMD.csv,1326.658749,1468.628921,1169.792565,1321.693412,149.4800416
Local_search_WFS_Execution_time_sharing_alpha_LSHD.csv,1033.653057,1416.194748,1230.117899,1226.655234,191.2943514
Local_search_WFS_Execution_time_sharing_alpha_MSLD.csv,1373.201623,1430.214659,1311.312757,1371.576346,59.46761066
Local_search_WFS_Execution_time_sharing_alpha_MSMD.csv,1462.490698,1084.066305,1492.391971,1346.316325,227.6067357
Local_search_WFS_Execution_time_sharing_alpha_MSHD.csv,1450.475474,1382.379028,1404.295048,1412.383183,34.7612563
Local_search_WFS_Execution_time_sharing_alpha_HSLD.csv,1001.69352,1189.237291,1002.247961,1064.392924,108.1187487
Local_search_WFS_Execution_time_sharing_alpha_HSMD.csv,1357.939694,1279.370935,1280.049682,1305.78677,45.16703178
Local_search_WFS_Execution_time_sharing_alpha_HSHD.csv,1145.925964,1188.949854,1212.768623,1182.548147,33.8780409
Local_search_WFS_Execution_time_sharing_beta_LSLD.csv,1497.219332,1146.529124,1114.875734,1252.87473,212.1996646
Local_search_WFS_Execution_time_sharing_beta_LSMD.csv,1121.620868,1360.400533,1392.284997,1291.435466,147.9253292
Local_search_WFS_Execution_time_sharing_beta_LSHD.csv,1476.083919,1343.248759,1392.028164,1403.786947,67.19372495
Local_search_WFS_Execution_time_sharing_beta_MSLD.csv,1332.052683,1414.307777,1229.892574,1325.417678,92.38646677
Local_search_WFS_Execution_time_sharing_beta_MSMD.csv,1143.324972,1313.164587,1328.120732,1261.536764,102.647174
Local_search_WFS_Execution_time_sharing_beta_MSHD.csv,1042.757383,1118.338972,1457.799031,1206.298462,221.0600514
Local_search_WFS_Execution_time_sharing_beta_HSLD.csv,1428.457408,1149.302468,1470.40921,1349.389695,174.5455881
Local_search_WFS_Execution_time_sharing_beta_HSMD.csv,1354.006108,1333.87631,1087.806469,1258.562962,148.2215814
Local_search_WFS_Execution_time_sharing_beta_HSHD.csv,1054.729674,1399.008421,1311.551964,1255.096686,178.9479329
Local_search_WFS_Execution_time_sharing_equal_LSLD.csv,1319.810785,1405.714539,1010.763583,1245.429635,207.7161066
Local_search_WFS_Execution_time_sharing_equal_LSMD.csv,1447.480523,1088.341672,1071.310797,1202.377664,212.4360405
Local_search_WFS_Execution_time_sharing_equal_LSHD.csv,1362.434221,1343.823589,1442.334187,1382.863999,52.33656801
Local_search_WFS_Execution_time_sharing_equal_MSLD.csv,1229.740444,1476.184375,1364.176973,1356.700597,123.3919565
Local_search_WFS_Execution_time_sharing_equal_MSMD.csv,1345.172209,1288.166363,1106.805322,1246.714631,124.4723975
Local_search_WFS_Execution_time_sharing_equal_MSHD.csv,1250.531857,1140.317869,1442.844914,1277.898213,153.1089198
Local_search_WFS_Execution_time_sharing_equal_HSLD.csv,1451.900981,1275.316652,1188.297662,1305.171765,134.3137122
Local_search_WFS_Execution_time_sharing_equal_HSMD.csv,1327.581212,1444.362141,1162.17415,1311.372501,141.7905402
Local_search_WFS_Execution_time_sharing_equal_HSHD.csv,1445.937287,1441.688297,1030.352085,1305.992557,238.7211041
