Iteration,Execution Time (ms)
655,125.9053
656,121.3556
657,1351.0647
658,112.4901
659,8597.3304
660,114.8373
661,121.9311
662,119.6844
663,180.6219
664,111.2169
665,177.6574
666,115.3206
667,110.4712
668,110.3848
669,119.0452
670,108.9571
671,266.6631
672,218.1963
673,254.9732
674,9092.9771
675,9081.4681
676,9097.2681
677,101.2791
678,9203.682
679,9042.6266
680,8035.672
681,854.7537
682,202.6469
683,104.9567
684,96.7946
685,94.7412
686,95.5757
687,94.6122
688,94.6729
689,92.7625
690,165.3927
691,101.8796
692,162.4863
693,91.009
694,90.5845
695,7588.8963
696,224.5407
697,112.0811
698,83.2314
699,172.197
700,228.3534
701,168.8484
702,88.6087
703,168.9975
704,142.4382
705,170.5889
706,167.3791
707,81.1729
708,221.0154
709,83.5674
710,79.108
711,289.5693
712,81.3369
713,397.3552
714,109.0028
715,298.2665
716,98.8548
717,73.5116
718,73.2848
719,7489.769
720,182.2977
721,7444.6186
722,186.0921
723,7487.594
724,167.805
725,69.5968
726,67.627
727,68.7991
728,67.9773
729,68.9941
730,71.3568
731,69.3352
732,67.3344
733,284.5883
734,65.1667
735,67.0477
736,69.9257
737,69.1502
738,68.7179
739,71.4343
740,69.3932
741,66.6275
742,277.5496
743,284.1212
744,279.3824
745,85.5312
746,76.2373
747,63.3214
748,61.3861
749,62.1477
750,64.1982
751,65.2513
752,64.3133
753,66.0922
754,64.0165
755,65.4037
756,6322.1312
757,134.0843
758,59.7341
759,203.0324
760,139.4115
761,203.6287
762,210.9035
763,205.9545
764,200.315
765,197.5292
766,200.6693
767,196.454
768,201.3885
769,201.9964
770,153.7427
771,29709.2624
772,5768.3948
773,29767.3082
774,4942.1815
775,544.3748
776,3800.378
777,4919.3537
778,5057.2322
779,29440.8811
780,56.6712
781,6109.98
782,735.4836
783,53.855
784,51.6193
785,131.5774
786,130.0944
787,124.9672
788,59.5996
789,126.432
790,59.9715
791,44.4991
792,5760.8648
793,123.9407
794,44.1039
795,5655.682
796,5326.5306
797,42.1908
798,50.192
799,5518.698
800,51.4089
801,40.792
802,5339.4672
803,42.9855
804,5440.0076
805,52.0287
806,41.5405
807,40.9436
808,41.5783
809,41.2909
810,42.3022
811,56.866
812,42.3661
813,41.6111
814,192.2374
815,195.3636
816,192.0091
817,113.0544
818,38.3137
819,37.9767
820,38.0848
821,4645.6926
822,37.351
823,37.6162
824,38.4632
825,37.0211
826,4402.9896
827,37.2288
828,4452.0766
829,37.8173
830,4469.4912
831,39.9522
832,36.5173
833,35.8522
834,119.1548
835,35.3125
836,34.2193
837,112.1098
838,48.7013
839,33.3004
840,33.7449
841,113.1185
842,34.8466
843,113.1262
844,51.3793
845,49.1678
846,182.3107
847,33.6241
848,112.929
849,48.4529
850,32.9654
851,34.407
852,3781.4477
853,35.5977
854,32.1265
855,35.2132
856,3804.2515
857,33.7426
858,33.0977
859,32.0937
860,110.3558
861,34.1452
862,108.7677
863,110.9985
864,110.1443
865,103.7082
866,104.8614
867,103.4709
868,102.6589
869,100.156
870,24.6796
871,32.5365
872,24.702
873,24.7656
874,24.5497
875,3589.0386
876,29.924
877,102.1518
878,99.6656
879,101.9792
880,104.0981
881,101.7591
882,97.9846
883,99.6807
884,100.0744
885,31.2985
886,32.231
887,112.922
888,102.476
889,130.4176
890,37.7035
891,119.3608
892,29.7459
893,3202.8878
894,48.0443
895,108.3401
896,47.7577
897,103.9274
898,111.8222
899,102.6352
900,29.1472
901,20.6349
902,20.5667
903,20.0472
904,5119.0235
905,4749.632
906,18.9246
907,18.5521
908,18.1301
909,18.0011
910,17.5961
911,19.3024
912,17.962
913,17.7694
914,17.9487
915,17.0046
916,18.9248
917,2656.0792
918,16.0881
919,16.4046
920,15.0793
921,14.8882
922,15.1164
923,15.2634
924,15.5114
925,15.4104
926,15.9081
927,15.1617
928,15.7714
929,15.7881
930,15.2118
931,14.9879
932,15.9047
933,14.3593
934,14.1776
935,14.3239
936,49.8061
937,12.9293
938,12.8424
939,12.6971
940,12.6735
941,12.9115
942,12.8593
943,13.147
944,12.5546
945,12.787
946,12.6692
947,12.0519
948,11.8124
949,11.8769
950,5.7835
951,5.7828
952,6.0438
953,6.3
954,5.7658
955,5.5648
956,5.3828
957,5.3813
958,5.641
959,5.2981
960,5.13
961,5.0577
962,5.0722
963,5.3843
964,4.9581
965,4.9275
966,5.4422
967,4.7914
968,4.8667
969,4.98
970,4.9505
971,5.0343
972,4.5842
973,4.6457
974,4.503
975,4.4866
976,5.8483
977,4.3549
978,4.1388
979,4.2867
980,4.1952
981,4.0071
982,3.9269
983,3.8747
